Ticker,Year,Total_Revenue,Cost_of_Revenue,Gross_Profit,Operating_Expense,Operating_Income,Net_Non_Operating_Interest_Income_Expense,Other_Income_Expense,Pretax_Income,Tax_Provision
CHRW,2017.0,14869380.0,13680857.0,1188523.0,413404.0,775119.0,-46656.0,,728463.0,223570.0
CZR,2021.0,8410000.0,3917000.0,4493000.0,3067000.0,1426000.0,-2288000.0,-355000.0,-1217000.0,-108000.0
CZR,2020.0,3474000.0,1768000.0,1706000.0,1660000.0,46000.0,-1174000.0,-504000.0,-1632000.0,126000.0
CZR,2019.0,2528249.0,1186149.0,1342100.0,893645.0,448455.0,-286248.0,-37229.0,124978.0,43977.0
CZR,2018.0,2056007.0,1055592.0,1000415.0,659820.0,340595.0,-171732.0,-33241.0,135622.0,40387.0
CZR,2017.0,1473504.0,806906.0,666598.0,460250.0,206348.0,-99769.0,-149909.0,-43330.0,-117270.0
COF,2021.0,29654000.0,,,,,,,15814000.0,3278000.0
COF,2020.0,27933000.0,,,,,,,3203000.0,486000.0
COF,2019.0,27831000.0,,,,,,,6874000.0,1341000.0
COF,2018.0,26674000.0,,,,,,,7318000.0,1293000.0
COF,2017.0,26247000.0,,,,,,,5492000.0,3375000.0
KMX,2021.0,26035159.0,23022367.0,3012792.0,2311934.0,700858.0,769724.0,37249.0,1507890.0,340622.0
KMX,2021.0,18950149.0,16571024.0,2379125.0,1944800.0,434325.0,522622.0,8275.0,965257.0,218338.0
KMX,2020.0,20319987.0,17597647.0,2722340.0,1940100.0,782240.0,373023.0,5690.0,1160986.0,272553.0
KMX,2019.0,18173100.0,15692509.0,2480591.0,1730300.0,750291.0,362898.0,-408.0,1112806.0,270393.0
KMX,2018.0,17120209.0,14791350.0,2328859.0,1617051.0,711808.0,350437.0,1363.0,1063608.0,399496.0
CARR,2021.0,20074000.0,14175000.0,5899000.0,3610000.0,2289000.0,-320000.0,1202000.0,3171000.0,915000.0
CARR,2020.0,17456000.0,12347000.0,5109000.0,3239000.0,1870000.0,-288000.0,1273000.0,2855000.0,849000.0
CARR,2019.0,18608000.0,13189000.0,5419000.0,3162000.0,2257000.0,27000.0,388000.0,2672000.0,517000.0
CARR,2018.0,18914000.0,13345000.0,5569000.0,3089000.0,2480000.0,37000.0,1325000.0,3842000.0,1073000.0
CARR,2017.0,17814000.0,12629000.0,5185000.0,2948000.0,2237000.0,-115000.0,932000.0,3054000.0,1787000.0
CAT,2021.0,48408000.0,33774000.0,14634000.0,7987000.0,6647000.0,-506000.0,442000.0,6583000.0,1480000.0
CAT,2020.0,41748000.0,29671000.0,12077000.0,7524000.0,4553000.0,-514000.0,-44000.0,3995000.0,1006000.0
CAT,2019.0,53800000.0,37384000.0,16416000.0,8126000.0,8290000.0,-421000.0,-57000.0,7812000.0,1746000.0
CAT,2018.0,54722000.0,37719000.0,17003000.0,8710000.0,8293000.0,-404000.0,-67000.0,7822000.0,1698000.0
CAT,2017.0,45462000.0,31695000.0,13767000.0,9361000.0,4406000.0,-531000.0,207000.0,4082000.0,3339000.0
CBRE,2021.0,26106320.0,20366082.0,5740238.0,4269882.0,1470356.0,-50874.0,483278.0,1902760.0,438333.0
CBRE,2020.0,23826195.0,19047620.0,4778575.0,3807933.0,970642.0,-67753.0,67080.0,969969.0,214101.0
CBRE,2019.0,23894091.0,18689013.0,5205078.0,3875233.0,1329845.0,-85754.0,117254.0,1361345.0,69895.0
CBRE,2018.0,21340088.0,16449212.0,4890876.0,3817761.0,1073115.0,-98685.0,404576.0,1379006.0,313058.0
CBRE,2017.0,14209608.0,9893226.0,4316382.0,3264768.0,1051614.0,-126961.0,239440.0,1164093.0,466147.0
CE,2021.0,7853000.0,5516000.0,2337000.0,705000.0,1632000.0,-96000.0,1726000.0,3262000.0,420000.0
CE,2020.0,5655000.0,4362000.0,1293000.0,578000.0,715000.0,-103000.0,1639000.0,2251000.0,247000.0
CE,2019.0,6297000.0,4691000.0,1606000.0,574000.0,1032000.0,-113000.0,69000.0,988000.0,124000.0
CE,2018.0,7155000.0,5183000.0,1972000.0,642000.0,1330000.0,-120000.0,300000.0,1510000.0,292000.0
CE,2017.0,6140000.0,4625000.0,1515000.0,548000.0,967000.0,-120000.0,228000.0,1075000.0,213000.0
CNP,2021.0,8092000.0,4966000.0,3126000.0,1814000.0,1312000.0,-477000.0,-1387000.0,-552000.0,-244000.0
